	連敗記録	脱出手段	対戦詳細	日時	備考
永世真宇宙深海王	14	自力脱出	対戦詳細	12/9	ゴーティス　最後の対ありでネオユニヴァースになった
永世裏目大砂海王	13	自力脱出	対戦詳細	12/7	スプリガンズ　コイントス14戦13敗のクズ運を披露(1勝は後攻デッキのボール)      永世戦はミドラーシュショックで回線が爆発しそのまま5冠になった
永世深淵伍世壊王	12	通報	対戦詳細	12/8	マナドゥム　運が悪かった
鉄獣戦線	11	自力脱出		12/10	アストラウド入り展開寄り　コイントス後攻が多かったのもあったが連敗後半からプレイングがガタガタになっていた　最終的に攻めあぐねたオッドアイズをアクセスで仕留めて脱出し配信中永世をすんでのところで回避した
ゲートガーディアン	10	自力脱出		12/10	じこっていた上に増Gを通した後に自分で即ドロバするというミスを犯した烙印ゴルシを倒し脱出
ヴァレットトーカー	8	自力脱出		12/8	サイバースとドラゴンの混成デッキ
トリックスター	8	自力脱出		12/9	未来の自分(マリンセス)がTOし脱出
マリンセス	8	自力脱出		12/9	異世界の自分(マリンセス)との沼バトルを制し脱出
ゲートガーディアン	8	自力脱出		12/10	氷水相手に脱出
ウィッチクラフト	7	自力脱出		12/6
クシャトリラ	7	自力脱出		12/10
罠モンスター	7	自力脱出		12/10
サンアバロン	6	自力脱出		12/5	S20初の通報ライン
烙印ストーリー	6	自力脱出		12/6
PUNKアンデット	6	自力脱出		12/7
蟲惑魔	6	自力脱出		12/7	60枚　斬機・スプリガンズ入り　最後は初動を引けなかった真竜の妨害を手数で踏み越えて勝利した
ティンダングル	6	通報		12/7	みんなのごはん作りの為通報
VSラビュリンス	6	自力脱出		12/9
@イグニスター	6	自力脱出		12/10
ヌメロン	6	自力脱出		12/10
深淵アンデットPUNK	5	自力脱出		12/6
PUNKセリオンズ	5	自力脱出		12/6
ドラゴンリンク	5	自力脱出		12/7
DDD	5	自力脱出		12/7
マナドゥム	5	自力脱出		12/7
烙印	5	自力脱出		12/7
猿世壊	5	通報		12/9	モンキー・ボード入り【世壊】
真紅眼ドラゴンリンク	4			12/5	S20初のリスト入り
サイバースGS	4			12/5
宝玉ガメシエル	4			12/5
@イグニスター	4			12/6
氷水	4			12/6
出張	4			12/6
メタルフォーゼスケアクロー	4			12/7
烙印アンワエルド	4			12/7
炎星	4			12/7
マドルチェ	4			12/8	シューバリエ入りのマドルチェシコ
ゴーティス	4			12/8
PUNKクシャトリラ	4			12/8
ゲートガーディアン	4			12/8
烙印	4			12/8
ドレミコード	4			12/8
烙印ドラグマ	4			12/8
斬機VSEM烙印	4			12/9
ゲートガーディアン	4			12/9
三魔神P.U.N.K.	4			12/9
VS	4			12/9
マリンセス	4			12/9	3連財前葵の通算20連敗リレーはクリストロン相手に幕を閉じた
ゲートガーディアン	4			12/9	ボール　クシャとか機巧とか蟹とか入ってた
氷水	4			12/10
イビルツイン	4			12/10
ネオス	4			12/10
アームド征竜	4			12/10	【トマラドン】
ゴーティス	4			12/11
ルーン	4			12/11
クロノダイバー	3			12/6
ゴーティス	3			12/6
リチュアスプライト60	3			12/6
迷宮P.U.N.K.	3			12/6
ゴーティス	3			12/6
竜剣士	3			12/6
深淵PUNK	3			12/6
深淵シスター	3			12/6
烙印ストーリー	3			12/6
カオス	3			12/6
ビートルーパー	3			12/6
アンワッチ	3			12/7
スケアクロー	3			12/7
烙印WC	3			12/7
アダマシア	3			12/7
VS	3			12/8
恐竜	3			12/8
深淵P.U.N.K.	3			12/8
烙印	3			12/8
マリンセス	3			12/8
クリストロン	3			12/8
ラビュリンス	3			12/9
爬虫類族	3			12/9
クシャトリラ氷水	3			12/9
深淵ドラメ	3			12/9
魔術師	3			12/9
罠モンスター	3			12/9
@イグニスター	3			12/10
深淵烙印	3			12/10
マドルチェ	3			12/10
ドラゴンメイド	3			12/10	60kg
深淵ドラグマ	3			12/10
烙印同胞	3			12/10